source_row,Student ID,column,value,z_score,abs_z,iqr_flag,z_flag
589038,31002972,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
589721,31003655,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
589795,31003729,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
589859,31003793,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590060,31003994,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590139,31004073,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
590202,31004136,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590259,31004193,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
590274,31004208,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
590367,31004301,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590382,31004316,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590457,31004391,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
590485,31004419,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
590495,31004429,Geography,2.0,-3.548740825320435,3.548740825320435,True,True
590567,31004501,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
590806,31004740,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
591025,31004959,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
591071,31005005,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
591140,31005074,Geography,1.75,-3.7626480828153888,3.7626480828153888,True,True
591238,31005172,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
591352,31005286,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
591389,31005323,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
591507,31005441,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
591550,31005484,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
592319,31006253,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
592379,31006313,Geography,1.25,-4.190462597805296,4.190462597805296,True,True
592536,31006470,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
592573,31006507,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
592592,31006526,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
592594,31006528,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
592637,31006571,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
592724,31006658,Geography,1.75,-3.7626480828153888,3.7626480828153888,True,True
592726,31006660,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
592792,31006726,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
592917,31006851,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
592926,31006860,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
593111,31007045,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
593257,31007191,Geography,9.5,2.868476899528175,2.868476899528175,True,False
593369,31007303,Geography,9.5,2.868476899528175,2.868476899528175,True,False
593424,31007358,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
593477,31007411,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
593489,31007423,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
593490,31007424,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
593561,31007495,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
593772,31007706,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
593812,31007746,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
593954,31007888,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
593961,31007895,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
594132,31008066,Geography,2.0,-3.548740825320435,3.548740825320435,True,True
594146,31008080,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
594192,31008126,Geography,2.25,-3.3348335678254815,3.3348335678254815,True,True
594370,31008304,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
594419,31008353,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
594724,31008658,Geography,10.0,3.296291414518082,3.296291414518082,True,True
594776,31008710,Geography,9.75,3.0823841570231285,3.0823841570231285,True,True
594889,31008823,Geography,9.75,3.0823841570231285,3.0823841570231285,True,True
595006,31008940,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
595010,31008944,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
595102,31009036,Geography,2.5,-3.120926310330528,3.120926310330528,True,True
595274,31009208,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
595385,31009319,Geography,2.75,-2.907019052835574,2.907019052835574,True,False
595880,31009814,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
595938,31009872,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
596028,31009962,Geography,3.0,-2.6931117953406205,2.6931117953406205,True,False
